ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
119	-1	8	3	0.0053178	0.0729232473220989	0.0729232	-2.27427
120	-1	8	3	0.0053177	0.0729225616664692	0.0729226	-2.27428
121	-1	8	2	0.0053175	0.0729211903358688	0.0729212	-2.27429
122	-1	8	2	0.0053175	0.0729211903358688	0.0729212	-2.27429
123	6	8	3	0.0053174	0.0729205046608977	0.0729205	-2.2743
124	-1	8	2	0.0053172	0.0729191332916128	0.0729191	-2.27432
125	4	8	2	0.0053171	0.0729184475972987	0.0729184	-2.27433
126	-1	8	2	0.0053167	0.07291570475556	0.0729157	-2.27436
127	-1	6	2	0.0053167	0.07291570475556	0.0729157	-2.27436
128	-1	8	2	0.0053166	0.0729150190290039	0.072915	-2.27437
129	2	6	2	0.0053164	0.0729136475565446	0.0729136	-2.27438
130	6	6	3	0.0053163	0.0729129618106411	0.072913	-2.27439
131	-1	8	2	0.0053163	0.0729129618106411	0.072913	-2.27439
132	1	6	1	0.0053163	0.0729129618106411	0.072913	-2.27439
133	-1	8	2	0.0053163	0.0729129618106411	0.072913	-2.27439
134	3	4	2	0.0053162	0.072912276058288	0.0729123	-2.2744
135	3	4	2	0.0053161	0.0729115902994853	0.0729116	-2.27441
136	-1	8	2	0.005316	0.0729109045342327	0.0729109	-2.27442
137	6	6	2	0.005316	0.0729109045342327	0.0729109	-2.27442
138	-1	8	3	0.005316	0.0729109045342327	0.0729109	-2.27442
139	6	8	3	0.0053159	0.0729102187625301	0.0729102	-2.27442
140	-1	8	2	0.0053158	0.0729095329843773	0.0729095	-2.27443
141	-1	8	2	0.0053158	0.0729095329843773	0.0729095	-2.27443
142	-1	8	2	0.0053158	0.0729095329843773	0.0729095	-2.27443
143	-1	8	2	0.0053157	0.072908847199774	0.0729088	-2.27444
144	-1	8	3	0.0053157	0.072908847199774	0.0729088	-2.27444
145	-1	8	2	0.0053156	0.0729081614087202	0.0729082	-2.27445
146	-1	6	2	0.0053155	0.0729074756112156	0.0729075	-2.27446
147	-1	8	3	0.0053154	0.0729067898072601	0.0729068	-2.27446
148	6	8	2	0.0053152	0.0729054181799954	0.0729054	-2.27448
149	-1	8	2	0.0053151	0.0729047323566859	0.0729047	-2.27449
150	5	6	2	0.0053148	0.0729026748480466	0.0729027	-2.27451
151	-1	8	3	0.0053148	0.0729026748480466	0.0729027	-2.27451
152	-1	8	3	0.0053147	0.0729019889989292	0.072902	-2.27452
153	-1	6	2	0.0053147	0.0729019889989292	0.072902	-2.27452
