ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
707	-1	6	2	8e-06	0.00282842712474619	0.00282843	-5.09691
708	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
709	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
710	-1	6	2	8e-06	0.00282842712474619	0.00282843	-5.09691
711	-1	6	3	8e-06	0.00282842712474619	0.00282843	-5.09691
712	-1	6	2	8e-06	0.00282842712474619	0.00282843	-5.09691
713	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
714	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
715	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
716	-1	8	2	8e-06	0.00282842712474619	0.00282843	-5.09691
717	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
718	-1	8	3	8e-06	0.00282842712474619	0.00282843	-5.09691
719	-1	8	2	8e-06	0.00282842712474619	0.00282843	-5.09691
720	-1	8	2	8e-06	0.00282842712474619	0.00282843	-5.09691
721	-1	8	2	8e-06	0.00282842712474619	0.00282843	-5.09691
722	-1	8	2	7.9e-06	0.00281069386451104	0.00281069	-5.10237
723	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
724	-1	8	2	7.9e-06	0.00281069386451104	0.00281069	-5.10237
725	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
726	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
727	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
728	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
729	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
730	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
731	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
732	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
733	-1	8	2	7.9e-06	0.00281069386451104	0.00281069	-5.10237
734	-1	8	2	7.9e-06	0.00281069386451104	0.00281069	-5.10237
735	-1	8	3	7.9e-06	0.00281069386451104	0.00281069	-5.10237
736	-1	8	2	7.9e-06	0.00281069386451104	0.00281069	-5.10237
737	-1	8	2	7.8e-06	0.00279284800875379	0.00279285	-5.10791
738	-1	6	2	7.8e-06	0.00279284800875379	0.00279285	-5.10791
739	-1	8	2	7.8e-06	0.00279284800875379	0.00279285	-5.10791
740	-1	8	3	7.8e-06	0.00279284800875379	0.00279285	-5.10791
741	-1	6	2	7.8e-06	0.00279284800875379	0.00279285	-5.10791
